"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-09-12",559.36,541.867,532.587,94
"2019-04-09-13",552.3575,531.712,546.90625,107.13325
"2019-04-09-14",586.421,584.88225,569.14375,104.69175
"2019-04-09-15",500.16525,473.8605,500.51875,75.13325
"2019-04-09-16",536.20625,532.91225,531.3985,77.43325
"2019-04-09-17",497.55725,474.22,490.544,73.2
"2019-04-09-18",469.275,460.566,468.48,81.5165
"2019-04-09-19",460.3735,449.51925,458.158,86.79975
"2019-04-09-20",441.20425,440.448,447.54675,89.16675
"2019-04-09-21",416.738,425.1175,427.80825,84.38325
"2019-04-09-22",407.96375,409.9255,412.432,84.2335
"2019-04-09-23",413.09875,403.728,406.6615,87.23325
"2019-04-10-00",411.0935,396.85875,399.8025,88.75
"2019-04-10-01",407.61075,396.95975,396.82675,91.3
"2019-04-10-02",406.82125,389.52075,393.40825,92.28325
"2019-04-10-03",394.56525,392.29325,392.24525,93.43325
"2019-04-10-04",401.32275,392.33725,388.88525,93.2335
"2019-04-10-05",396.5975,384.75575,389.84,93.61675
"2019-04-10-06",398.30875,389.23725,388.14925,93.28325
"2019-04-10-07",397.3175,385.376,386.95475,93.15025
"2019-04-10-08",451.4665,422.04275,440.68275,89.0835
"2019-04-10-09",568.128,533.00525,555.657,94.9165
"2019-04-10-10",669.99475,625.0605,639.11775,98.98325
"2019-04-10-11",714.68575,694.032,694.58675,102.65
"2019-04-10-12",729.96575,704.29875,701.2695,108.63325
"2019-04-10-13",672.828,645.9975,649.248,109.5835
"2019-04-10-14",616.464,605.59125,598.6185,108.2
"2019-04-10-15",573.446,558.13875,560.928,107.35025
"2019-04-10-16",528.5025,526.66125,536.58125,107.45
"2019-04-10-17",504.3985,495.9625,505.91475,105.3835
"2019-04-10-18",491.904,477.30675,489.29875,104.3835
"2019-04-10-19",475.87175,464.97625,473.93075,103.9
"2019-04-10-20",460.5865,449.1415,456.55475,101.36675
"2019-04-10-21",441.95625,435.41875,440.93325,100.3
"2019-04-10-22",435.984,428.5225,434.90675,100.0165
"2019-04-10-23",433.89875,423.01325,425.5255,101.03325
"2019-04-11-00",428.65575,417.7305,423.84,101.23325
"2019-04-11-01",418.02,415.27475,417.1625,101.4335
"2019-04-11-02",420.0745,413.61075,411.72775,100.65
"2019-04-11-03",416.496,408.45325,409.81875,100.65
"2019-04-11-04",414.928,398.2005,404.20275,100.43325
"2019-04-11-05",416.8905,404.21325,406.16,99.8335
"2019-04-11-06",415.61625,405.6375,404.8905,99.55
"2019-04-11-07",411.37075,401.38675,401.99475,99.4165
"2019-04-11-08",421.73325,411.00275,418.1385,99.617
"2019-04-11-09",532.53675,490.49075,518.542,100.867
"2019-04-11-10",730.0525,661.89175,737.81775,107.9
"2019-04-11-11",799.0295,742.68775,767.83975,99.88325
"2019-04-11-12",792.88525,753.10925,767.85075,108.46675
"2019-04-11-13",876.298,849.5785,864.4955,115.69975
"2019-04-11-14",NA,917.84,982.676,122.85025
"2019-04-11-15",NA,NA,NA,131.74175
"2019-04-11-16",NA,NA,NA,135.65025
"2019-04-11-17",NA,NA,NA,128.1835
"2019-04-11-18",NA,NA,NA,126.85
"2019-04-11-19",944.0215,962.133,958.050666666667,125.0835
"2019-04-11-20",905.792,875.094,877.96275,122.4335
"2019-04-11-21",826.9665,794.51075,806.92375,120.95
"2019-04-11-22",748.6585,744.06475,744.5975,118.7165
"2019-04-11-23",709.376,688.256,689.9885,115.76675
"2019-04-12-00",653.555,641.947,645.9785,113.6665
"2019-04-12-01",626.97075,607.696,610.6985,111.71675
"2019-04-12-02",582.47575,573.02925,577.4295,109.05
"2019-04-12-03",547.61175,540.31475,548.41575,106.61675
"2019-04-12-04",531.56925,515.09875,525.21075,104.4
"2019-04-12-05",510.8265,495.2615,506.1725,102.9
"2019-04-12-06",486.526,469.9735,490.8375,101.05
"2019-04-12-07",481.3065,464.67225,474.30925,98.65
"2019-04-12-08",482.54,497.8935,495.95225,92.0165
"2019-04-12-09",627.52425,605.95625,611.93825,102.31675
"2019-04-12-10",440.11775,412.78025,428.904,62.60525
"2019-04-12-11",567.1535,585.81875,590.8645,66.31675
"2019-04-12-12",670.656,666.56,668.6185,74.0335
"2019-04-12-13",627.22075,621.26925,613.75425,79.01675
"2019-04-12-14",576.7115,565.3495,569.71725,82.55
"2019-04-12-15",544.60275,523.78625,541.26425,85.78325
"2019-04-12-16",523.202,506.8,520.64375,89.05025
"2019-04-12-17",513.5465,493.61075,506.42675,91.16675
"2019-04-12-18",497.424,473.94225,492.74675,91.91675
"2019-04-12-19",475.423,460.61325,476.60275,89.2335
"2019-04-12-20",467.152,448.2985,460.5495,86.5835
"2019-04-12-21",459.40275,443.4935,453.05075,86.86675
"2019-04-12-22",454.2935,435.46675,447.94125,87.98325
"2019-04-12-23",449.168,433.53075,442.48525,88.03325
"2019-04-13-00",443.7065,429.99475,436.48,87.43325
"2019-04-13-01",437.66425,424.9385,431.184,86.2
"2019-04-13-02",431.46675,422.187,423.51475,84.90025
"2019-04-13-03",424.88025,416.28275,418.75975,83.68325
"2019-04-13-04",423.4505,413.94125,415.216,82.23325
"2019-04-13-05",420.11675,411.77125,413.0455,80.956
"2019-04-13-06",415.9095,403.8775,404.77325,78.95025
"2019-04-13-07",403.95525,397.984,396.57075,76.31675
"2019-04-13-08",397.44,378.9805,386.816,74.2665
"2019-04-13-09",390.2025,382.966,380.784,72.93325
"2019-04-13-10",387.9095,379.42375,378.8695,73.53325
"2019-04-13-11",377.03825,374.704,373.531,74.5835
"2019-04-13-12",376.2165,369.55175,367.2265,74.7165
"2019-04-13-13",371.285,365.70675,361.79475,75.15
"2019-04-13-14",355.8655,363.568,356.90675,75.84975
"2019-04-13-15",363.898,359.34375,357.4295,75.1665
"2019-04-13-16",369.80275,356.608,357.696,75.2335
