"Time","Energie_Eclairage","Energie_VMC","Energie_Prises","Energie_Convecteurs"
"2019-03-29-11",9.38956666666667,0,477.380866666667,12370.8032666667
"2019-03-29-12",9.39223333333333,0,477.870933333333,12372.9393166667
"2019-03-29-13",9.39521666666667,0,478.244433333333,12375.9362833333
"2019-03-29-14",9.39733333333333,0,478.332466666667,12378.0228333333
"2019-03-29-15",9.3995,0,478.421766666667,12379.6603333333
"2019-03-29-16",9.40161666666667,0,478.510316666667,12380.77845
"2019-03-29-17",9.40368333333333,0,478.59875,12381.5131833333
"2019-03-29-18",9.40578333333333,0,478.68865,12382.1374333333
"2019-03-29-19",9.40781666666667,0,478.803983333333,12382.7854333333
"2019-03-29-20",9.40985,0,478.927183333333,12383.4584666667
"2019-03-29-21",9.41191666666667,0,479.0156,12384.19615
"2019-03-29-22",9.41403333333333,0,479.105133333333,12384.9962333333
"2019-03-29-23",9.41616666666667,0,479.19315,12385.9741333333
"2019-03-30-00",9.41833333333333,0,479.343533333333,12387.2035
"2019-03-30-01",9.42056666666667,0,479.435783333333,12388.7280333333
"2019-03-30-02",9.4227,0,479.524216666667,12390.5482
"2019-03-30-03",9.4248,0,479.6121,12392.6766833333
"2019-03-30-04",9.42691803278688,0,479.748934426229,12395.2049180328
"2019-03-30-05",9.42905,0,479.8555,12398.1259833333
"2019-03-30-06",9.43113333333333,0,479.942733333333,12401.4201666667
"2019-03-30-07",9.43325,0,480.030183333333,12404.976
"2019-03-30-08",9.43535,0,480.158833333333,12408.6100166667
"2019-03-30-09",9.43755,0,480.2748,12412.0705833333
"2019-03-30-10",9.4397,0,480.3623,12415.2899166667
"2019-03-30-11",9.44178333333333,0,480.451066666667,12418.18345
"2019-03-30-12",9.44385,0,480.55495,12420.4085666667
"2019-03-30-13",9.44591666666667,0,480.696733333333,12422.2910666667
"2019-03-30-14",9.44798333333333,0,480.784366666667,12423.8717333333
"2019-03-30-15",9.45005,0,480.872916666667,12425.0279333333
"2019-03-30-16",9.45211666666667,0,480.961966666667,12425.76725
"2019-03-30-17",9.45418333333333,0,481.103,12426.2414833333
"2019-03-30-18",9.4563,0,481.203333333333,12426.60565
"2019-03-30-19",9.45838333333333,0,481.292833333333,12427.0237333333
"2019-03-30-20",9.46053333333333,0,481.380766666667,12427.4939
"2019-03-30-21",9.46266666666667,0,481.50455,12428.01775
"2019-03-30-22",9.46478333333333,0,481.6254,12428.6337333333
"2019-03-30-23",9.46693333333333,0,481.714333333333,12429.3621666667
"2019-03-31-00",9.46905,0,481.802983333333,12430.2642666667
"2019-03-31-01",9.47111666666667,0,481.9121,12431.4313833333
"2019-03-31-03",9.47316666666667,0,482.046733333333,12432.9027333333
"2019-03-31-04",9.47521666666667,0,482.135316666667,12434.7037166667
"2019-03-31-05",9.4773,0,482.224316666667,12436.8545833333
"2019-03-31-06",9.4794,0,482.321666666667,12439.3929
"2019-03-31-07",9.48155,0,482.465783333333,12442.3230166667
"2019-03-31-08",9.48366666666667,0,482.554533333333,12445.5813
"2019-03-31-09",9.48576666666667,0,482.64415,12448.9591
"2019-03-31-10",9.48790163934426,0,482.733540983607,12452.2032459016
"2019-03-31-11",9.49003333333333,0,482.889183333333,12455.2505166667
"2019-03-31-12",9.49213333333333,0,482.98,12457.9995166667
"2019-03-31-13",9.49421666666667,0,483.070566666667,12460.2861
"2019-03-31-14",9.49631666666667,0,483.159966666667,12462.1422333333
"2019-03-31-15",9.49843333333333,0,483.296516666667,12463.6777666667
"2019-03-31-16",9.50058333333333,0,483.407816666667,12464.7731166667
"2019-03-31-17",9.50265,0,483.499116666667,12465.4102166667
