"Time","Humidite_Interieur_Sud.mean","Humidite_Interieur_Nord.mean","Humidite_RELATIVE_E4000.mean","Humidite_ABSOLUE_E4000.mean"
"2019-03-29-11",34.1195,43,31,6.9215
"2019-03-29-12",34.58475,39.6295,30.76675,6.873
"2019-03-29-13",32.6215,38.60025,29.45,6.7055
"2019-03-29-14",34.53125,38.792,30,6.808
"2019-03-29-15",34.53125,40.844,30.46675,6.9405
"2019-03-29-16",32.298,39.44325,31,7.028
"2019-03-29-17",32.8125,41.21875,31.16675,7.031
"2019-03-29-18",34.53125,40.299,32,7.1555
"2019-03-29-19",33.34375,39.70525,32,7.1395
"2019-03-29-20",32.641,38.9035,32,7.11075
"2019-03-29-21",34,39.75575,32,7.0895
"2019-03-29-22",33.547,39.75575,32,7.04725
"2019-03-29-23",31.40775,38.7395,31.7335,6.97525
"2019-03-30-00",32.67725,39.37875,31,6.821
"2019-03-30-01",29.8775,39.37875,31,6.85025
"2019-03-30-02",32.89825,38.32,31,6.8515
"2019-03-30-03",32.4805,38.97075,30.93325,6.84125
"2019-03-30-04",32.41475,38.42375,30,6.66525
"2019-03-30-05",31.6875,37.877,30,6.72575
"2019-03-30-06",31.353,36.3255,29.3,6.62225
"2019-03-30-07",32.69575,36.60225,29,6.5805
"2019-03-30-08",33.547,36.919,29,6.613
"2019-03-30-09",32.641,36.41875,29,6.6285
"2019-03-30-10",33.3265,37.33025,29.38325,6.71825
"2019-03-30-11",33.59375,39.285,30,6.862
"2019-03-30-12",33.59375,39.875,30,6.8365
"2019-03-30-13",35,37.68625,30.08325,6.8165
"2019-03-30-14",33.20775,39.90875,30.28325,6.91275
"2019-03-30-15",33.5295,38.214,31,7.08
"2019-03-30-16",33.18025,39.37,31,7.078
"2019-03-30-17",34.0625,37.82825,31.13325,7.09075
"2019-03-30-18",33.5605,39.688,32,7.2075
"2019-03-30-19",33.58025,39.88025,32,7.166
"2019-03-30-20",31.79975,39.88025,32,7.15525
"2019-03-30-21",31.841,39.2455,32,7.12725
"2019-03-30-22",31.03275,38.792,32,7.108
"2019-03-30-23",32.694,38.89925,32,7.07125
"2019-03-31-00",33.147,39.3125,32,7.05125
"2019-03-31-01",31.441,39.875,32,7.064
"2019-03-31-03",32.241,39.37875,31.13325,6.87875
"2019-03-31-04",32.694,38.32825,31,6.85
"2019-03-31-05",32.241,38.65125,31,6.87125
"2019-03-31-06",32.694,40,30.2,6.72725
"2019-03-31-07",31.243,37.61125,30,6.742
"2019-03-31-08",30.58975,38.076,29.86675,6.77075
"2019-03-31-09",33.547,37.33025,29.51675,6.7375
"2019-03-31-10",32.241,37.995,29.93325,6.818
"2019-03-31-11",33.3595,38.1825,30,6.84875
"2019-03-31-12",33.649,38.25375,30,6.85875
"2019-03-31-13",34.53125,36.5465,30.31675,6.89975
"2019-03-31-14",33.2355,39.61325,31,7.052
"2019-03-31-15",33.59375,40.844,31,7.09
"2019-03-31-16",34.0625,40.33375,31,7.11925
"2019-03-31-17",34.53125,40.91175,31.11675,7.14175
"2019-03-31-18",32.7115,40.5005,32,7.346
"2019-03-31-19",33.51575,40.823,32.38325,7.35675
"2019-03-31-20",33.57825,41.1355,33,7.46
"2019-03-31-21",32.021,39.7705,33,7.45675
"2019-03-31-22",32.58675,38.792,33,7.41075
"2019-03-31-23",33.18025,37.70375,33,7.37325
"2019-04-01-00",34.0625,41.422,33,7.35475
"2019-04-01-01",35,39.9065,33,7.328
"2019-04-01-02",30.89175,37.87875,32.05,7.08575
"2019-04-01-03",33.18025,39.37875,32,7.07125
"2019-04-01-04",32.694,39.37875,32,7.07
"2019-04-01-05",31.841,38.68925,31.05,6.87175
"2019-04-01-06",32.694,36.9655,31,6.88725
"2019-04-01-07",32.694,36.8475,30.93325,6.90075
"2019-04-01-08",30.7305,36.9655,30,6.734
"2019-04-01-09",33.06275,38.11025,30.2,6.8305
"2019-04-01-10",33.75,39.875,31,6.9935
"2019-04-01-11",34.113,40.26575,31,7.03
"2019-04-01-12",33.73975,37.1935,31,7.00275
"2019-04-01-13",34.54725,37.87625,31,6.97725
"2019-04-01-14",32.93225,40.33975,31.5,7.177
"2019-04-01-15",34.604,41.21875,32,7.3695
"2019-04-01-16",33.752,41.70025,32.41675,7.447
"2019-04-01-17",35.90625,43.39075,33,7.49175
"2019-04-01-18",35.55875,39.944,33.3,7.47975
"2019-04-01-19",36.41675,42.40625,33.51675,7.51575
"2019-04-01-20",36.31675,40.22925,33.21675,7.445
"2019-04-01-21",33.6355,40.69475,34,7.6035
"2019-04-01-22",35.0315,37.57,34,7.6
"2019-04-01-23",34.54725,40.33375,33.64975,7.496
"2019-04-02-00",35.0315,38.28175,33,7.33
"2019-04-02-01",33.73975,41.422,33,7.33075
"2019-04-02-02",34.224,36.63675,33,7.33075
"2019-04-02-03",34.5135,38.375,32.55,7.21175
"2019-04-02-04",33.18025,39.875,32,7.11075
"2019-04-02-05",34.0625,37.41775,32,7.112
"2019-04-02-06",34.45325,39.37875,31.33325,6.9955
"2019-04-02-07",33.649,39.55525,31,6.945
"2019-04-02-08",33.28125,39.05375,31,6.978
"2019-04-02-09",34.45325,38.81625,31,7.04325
"2019-04-02-10",35.0315,37.7575,31,7.0415
"2019-04-02-11",34.40175,39.1765,31.4,7.14875
"2019-04-02-12",35.51575,39.81625,31,7.0545
"2019-04-02-13",35.71575,40.22725,31.31675,7.0855
"2019-04-02-14",33.69525,37.12275,30.71675,6.9505
"2019-04-02-15",28.90725,34.9535,27.58325,6.20875
"2019-04-02-16",28.766,33.85825,26.75,6.0185
