"Time","Pyranometre_Est_Wm.mean","Pyranometre_Nord_Wm.mean","Pyranometre_Ouest_Wm.mean","Pyranometre_Sud_Wm.mean"
"2019-03-29-11",46.755,27.949,37.8666666666667,633.112
"2019-03-29-12",39.9775,28.55975,48.392,694.63725
"2019-03-29-13",32.84575,32.76575,60.74325,698.7905
"2019-03-29-14",29.94625,33.44025,456.64375,618.932
"2019-03-29-15",23.94625,31.011,551.695,500.72925
"2019-03-29-16",20.30275,26.353,472.93925,74.52025
"2019-03-29-17",28.0865,14.75375,301.114,84.51375
"2019-03-29-18",3.88175,0.94,4.67525,5.45275
"2019-03-29-19",0,0,0,0
"2019-03-29-20",0,0,0,0
"2019-03-29-21",0,0,0,0
"2019-03-29-22",0,0,0,0
"2019-03-29-23",0,0,0,0
"2019-03-30-00",0,0,0,0
"2019-03-30-01",0,0,0,0
"2019-03-30-02",0,0,0,0
"2019-03-30-03",0,0,0,0
"2019-03-30-04",0,0,0,0
"2019-03-30-05",0,0,0,0
"2019-03-30-06",0,0,0,0
"2019-03-30-07",94.2805,0.125,0,0
"2019-03-30-08",268.42225,4.04725,4.6505,176.541
"2019-03-30-09",515.0975,10.9765,10.323,399.6025
"2019-03-30-10",258.7905,22.7855,25.48475,565.694
"2019-03-30-11",51.17975,28.8435,36.16525,670.356
"2019-03-30-12",44.05825,32.11775,51.041,717.87125
"2019-03-30-13",35.04325,35.158,63.66375,700.981
"2019-03-30-14",33.12175,33.65275,453.29,640.03325
"2019-03-30-15",28.071,30.8245,561.7145,512.941
"2019-03-30-16",21.7315,26.2425,484.21225,57.1065
"2019-03-30-17",23.614,16.83525,335.08025,82.98
"2019-03-30-18",6.2245,1.05225,3.41175,5.564
"2019-03-30-19",0.047,0,0,0
"2019-03-30-20",0,0,0,0
"2019-03-30-21",0,0,0,0
"2019-03-30-22",0,0,0,0
"2019-03-30-23",0,0,0,0
"2019-03-31-00",0,0,0,0
"2019-03-31-01",0,0,0,0
"2019-03-31-03",0,0,0,0
"2019-03-31-04",0,0,0,0
"2019-03-31-05",0,0,0,0
"2019-03-31-06",0,0,0,0
"2019-03-31-07",0,0,0,0
"2019-03-31-08",109.41575,0.91225,0.58825,0.23875
"2019-03-31-09",270.19725,4.81575,6.043,175.814
"2019-03-31-10",521.59125,13.69775,19.2695,404.9915
"2019-03-31-11",241.5265,21.64725,38.03925,478.6725
"2019-03-31-12",59.79975,27.24525,48.023,479.06325
"2019-03-31-13",52.4545,32.99,56.582,615.14925
"2019-03-31-14",39.1745,36.222,65.83875,696.40775
"2019-03-31-15",33.3735,36.7435,458.6675,614.8765
"2019-03-31-16",28.19525,36.49225,581.192,473.95575
"2019-03-31-17",26.021,31.0985,487.1735,49.70325
"2019-03-31-18",23.02025,16.768,320.15475,75.288
"2019-03-31-19",4.64275,1.109,8.11075,6.08575
"2019-03-31-20",0.13525,0,0,0
"2019-03-31-21",0,0,0,0
"2019-03-31-22",0,0,0,0
"2019-03-31-23",0,0,0,0
"2019-04-01-00",0,0,0,0
"2019-04-01-01",0,0,0,0
"2019-04-01-02",0,0,0,0
"2019-04-01-03",0,0,0,0
"2019-04-01-04",0,0,0,0
"2019-04-01-05",0,0,0,0
"2019-04-01-06",0,0,0,0
"2019-04-01-07",0.39475,0,0,0
"2019-04-01-08",24.48775,0.6885,1.46525,1.5945
