"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Temperature_ressentie_E4000.mean","Station_Meteo_Text","Mur_Temp_1_1.mean"
"2019-03-30-10",22.1,19.92,24.8,24.8,17.5948717948718,17.9093333333333
"2019-03-30-11",22.1573333333333,19.8549166666667,24.8066666666667,24.8066666666667,18.3977528089888,17.90475
"2019-03-30-12",22.218,19.7423333333333,24.7416666666667,24.7416666666667,19.6430379746835,17.9339166666667
"2019-03-30-13",22.4070833333333,19.7213333333333,24.645,24.645,22.3848837209302,18.00925
"2019-03-30-14",22.769,19.81475,24.7766666666667,24.7766666666667,21.0507462686567,18.1856666666667
"2019-03-30-15",23.1428333333333,19.9415,24.8,24.8,21.3396825396825,18.44725
"2019-03-30-16",23.3466666666667,20.0383333333333,24.795,24.795,21.1098360655738,18.72775
"2019-03-30-17",23.4923333333333,20.1551666666667,24.75,24.75,20.9262295081967,19.003
"2019-03-30-18",23.541,20.2353333333333,24.5433333333333,24.5433333333333,18.4083333333333,19.2205
"2019-03-30-19",23.6360833333333,20.3528333333333,24.44,24.44,16.7016666666667,19.41625
"2019-03-30-20",23.6843333333333,20.48775,24.4133333333333,24.4133333333333,14.18,19.5866666666667
"2019-03-30-21",23.6086666666667,20.5726666666667,24.3433333333333,24.3433333333333,12.3327868852459,19.67475
"2019-03-30-22",23.48375,20.6026666666667,24.295,24.295,10.935593220339,19.6881666666667
"2019-03-30-23",23.3094166666667,20.585,24.2033333333333,24.2033333333333,10.2566666666667,19.6420833333333
"2019-03-31-00",23.1303333333333,20.5346666666667,24.1533333333333,24.1533333333333,9.20327868852459,19.5454166666667
"2019-03-31-01",23.0276666666667,20.4868333333333,24.185,24.185,8.40333333333333,19.4263333333333
"2019-03-31-03",22.9886666666667,20.4445,24.1983333333333,24.1983333333333,7.415,19.28425
"2019-03-31-04",22.8966666666667,20.3873333333333,24.2,24.2,6.46833333333333,19.1305833333333
"2019-03-31-05",22.7486666666667,20.3421666666667,24.2533333333333,24.2533333333333,5.72,18.9683333333333
"2019-03-31-06",22.62075,20.3145,24.3533333333333,24.3533333333333,5.2,18.8054166666667
"2019-03-31-07",22.518,20.3111666666667,24.505,24.505,4.85,18.6460833333333
"2019-03-31-08",22.4450833333333,20.3281666666667,24.6533333333333,24.6533333333333,7.215,18.4991666666667
"2019-03-31-09",22.354,20.3063333333333,24.7716666666667,24.7716666666667,11.5835820895522,18.3639166666667
"2019-03-31-10",22.2525,20.16875,24.7333333333333,24.7333333333333,14.4324675324675,18.2531666666667
"2019-03-31-11",22.2196666666667,20.0438333333333,24.7716666666667,24.7716666666667,18.7853333333333,18.1885833333333
"2019-03-31-12",22.2641666666667,19.9768333333333,24.7966666666667,24.7966666666667,19.3904761904762,18.1629166666667
"2019-03-31-13",22.3679166666667,19.9186666666667,24.725,24.725,21.359595959596,18.18375
"2019-03-31-14",22.5786666666667,19.9226666666667,24.73,24.73,21.9625,18.2778333333333
"2019-03-31-15",22.8745833333333,20.0151666666667,24.825,24.825,24.1046511627907,18.463
"2019-03-31-16",23.2133333333333,20.1391666666667,24.8983333333333,24.8983333333333,24.6702380952381,18.7266666666667
"2019-03-31-17",23.42325,20.255,24.8828333333333,24.8828333333333,22.4936507936508,19.0086666666667
"2019-03-31-18",23.5496666666667,20.3856666666667,24.89,24.89,22.1229508196721,19.301
"2019-03-31-19",23.6246666666667,20.4705,24.6966666666667,24.6966666666667,19.5933333333333,19.5376666666667
"2019-03-31-20",23.7393333333333,20.6025833333333,24.6,24.6,17.4327868852459,19.7435
"2019-03-31-21",23.83225,20.7553333333333,24.5933333333333,24.5933333333333,14.9866666666667,19.9213333333333
"2019-03-31-22",23.7463333333333,20.8493333333333,24.5016666666667,24.5016666666667,13.3508196721311,20.0236666666667
"2019-03-31-23",23.61825,20.8718333333333,24.4083333333333,24.4083333333333,11.235,20.04775
"2019-04-01-00",23.4746666666667,20.872,24.3616666666667,24.3616666666667,10.3716666666667,20.0095
