"Time","Mur_Temp_toit_1.mean","Mur_Temp_toit_2.mean","Mur_Temp_toit_3.mean"
"2023-03-30-11",NA,NA,NA
"2023-03-30-12",NA,NA,NA
"2023-03-30-13",NA,NA,NA
"2023-03-30-14",NA,NA,NA
"2023-03-30-15",NA,NA,NA
"2023-03-30-16",NA,NA,NA
"2023-03-30-17",NA,NA,NA
"2023-03-30-18",NA,NA,NA
"2023-03-30-19",NA,NA,NA
"2023-03-30-20",NA,NA,NA
"2023-03-30-21",NA,NA,NA
"2023-03-30-22",NA,NA,NA
"2023-03-30-23",NA,NA,NA
"2023-03-31-00",NA,NA,NA
"2023-03-31-01",NA,NA,NA
"2023-03-31-02",NA,NA,NA
"2023-03-31-03",NA,NA,NA
"2023-03-31-04",NA,NA,NA
"2023-03-31-05",NA,NA,NA
"2023-03-31-06",NA,NA,NA
"2023-03-31-07",NA,NA,NA
"2023-03-31-08",NA,NA,NA
"2023-03-31-09",NA,NA,NA
"2023-03-31-10",NA,NA,NA
"2023-03-31-11",NA,NA,NA
"2023-03-31-12",NA,NA,NA
"2023-03-31-13",NA,NA,NA
"2023-03-31-14",NA,NA,NA
"2023-03-31-15",NA,NA,NA
"2023-03-31-16",NA,NA,NA
"2023-03-31-17",NA,NA,NA
"2023-03-31-18",NA,NA,NA
"2023-03-31-19",NA,NA,NA
"2023-03-31-20",NA,NA,NA
"2023-03-31-21",NA,NA,NA
"2023-03-31-22",NA,NA,NA
"2023-03-31-23",NA,NA,NA
"2023-04-01-00",NA,NA,NA
"2023-04-01-01",NA,NA,NA
"2023-04-01-02",NA,NA,NA
"2023-04-01-03",NA,NA,NA
"2023-04-01-04",NA,NA,NA
"2023-04-01-05",NA,NA,NA
"2023-04-01-06",NA,NA,NA
"2023-04-01-07",NA,NA,NA
"2023-04-01-08",NA,NA,NA
"2023-04-01-09",NA,NA,NA
"2023-04-01-10",NA,NA,NA
"2023-04-01-11",NA,NA,NA
"2023-04-01-12",NA,NA,NA
"2023-04-01-13",NA,NA,NA
"2023-04-01-14",NA,NA,NA
"2023-04-01-15",NA,NA,NA
"2023-04-01-16",NA,NA,NA
"2023-04-01-17",NA,NA,NA
"2023-04-01-18",NA,NA,NA
"2023-04-01-19",NA,NA,NA
"2023-04-01-20",NA,NA,NA
"2023-04-01-21",NA,NA,NA
"2023-04-01-22",NA,NA,NA
"2023-04-01-23",NA,NA,NA
"2023-04-02-00",NA,NA,NA
"2023-04-02-01",NA,NA,NA
"2023-04-02-02",NA,NA,NA
"2023-04-02-03",NA,NA,NA
"2023-04-02-04",NA,NA,NA
"2023-04-02-05",NA,NA,NA
"2023-04-02-06",NA,NA,NA
"2023-04-02-07",NA,NA,NA
"2023-04-02-08",NA,NA,NA
"2023-04-02-09",NA,NA,NA
"2023-04-02-10",NA,NA,NA
"2023-04-02-11",NA,NA,NA
"2023-04-02-12",NA,NA,NA
"2023-04-02-13",NA,NA,NA
"2023-04-02-14",NA,NA,NA
"2023-04-02-15",NA,NA,NA
"2023-04-02-16",NA,NA,NA
"2023-04-02-17",NA,NA,NA
"2023-04-02-18",NA,NA,NA
"2023-04-02-19",NA,NA,NA
"2023-04-02-20",NA,NA,NA
"2023-04-02-21",NA,NA,NA
"2023-04-02-22",NA,NA,NA
"2023-04-02-23",NA,NA,NA
"2023-04-03-00",NA,NA,NA
"2023-04-03-01",NA,NA,NA
"2023-04-03-02",NA,NA,NA
"2023-04-03-03",NA,NA,NA
"2023-04-03-04",NA,NA,NA
"2023-04-03-05",NA,NA,NA
"2023-04-03-06",NA,NA,NA
"2023-04-03-07",NA,NA,NA
"2023-04-03-08",NA,NA,NA
"2023-04-03-09",NA,NA,NA
"2023-04-03-10",NA,NA,NA
"2023-04-03-11",NA,NA,NA
"2023-04-03-12",NA,NA,NA
"2023-04-03-13",NA,NA,NA
"2023-04-03-14",NA,NA,NA
"2023-04-03-15",NA,NA,NA
"2023-04-03-16",NA,NA,NA
"2023-04-03-17",NA,NA,NA
"2023-04-03-18",NA,NA,NA
"2023-04-03-19",NA,NA,NA
"2023-04-03-20",NA,NA,NA
"2023-04-03-21",NA,NA,NA
"2023-04-03-22",NA,NA,NA
"2023-04-03-23",NA,NA,NA
"2023-04-04-00",NA,NA,NA
"2023-04-04-01",NA,NA,NA
"2023-04-04-02",NA,NA,NA
"2023-04-04-03",NA,NA,NA
"2023-04-04-04",NA,NA,NA
"2023-04-04-05",NA,NA,NA
"2023-04-04-06",NA,NA,NA
"2023-04-04-07",NA,NA,NA
"2023-04-04-08",NA,NA,NA
"2023-04-04-09",NA,NA,NA
"2023-04-04-10",NA,NA,NA
"2023-04-04-11",NA,NA,NA
"2023-04-04-12",NA,NA,NA
"2023-04-04-13",NA,NA,NA
"2023-04-04-14",NA,NA,NA
"2023-04-04-15",NA,NA,NA
"2023-04-04-16",NA,NA,NA
"2023-04-04-17",NA,NA,NA
"2023-04-04-18",NA,NA,NA
"2023-04-04-19",NA,NA,NA
"2023-04-04-20",NA,NA,NA
"2023-04-04-21",NA,NA,NA
"2023-04-04-22",NA,NA,NA
"2023-04-04-23",NA,NA,NA
"2023-04-05-00",NA,NA,NA
"2023-04-05-01",NA,NA,NA
"2023-04-05-02",NA,NA,NA
"2023-04-05-03",NA,NA,NA
"2023-04-05-04",NA,NA,NA
"2023-04-05-05",NA,NA,NA
"2023-04-05-06",NA,NA,NA
"2023-04-05-07",NA,NA,NA
"2023-04-05-08",NA,NA,NA
"2023-04-05-09",NA,NA,NA
"2023-04-05-10",NA,NA,NA
"2023-04-05-11",NA,NA,NA
"2023-04-05-12",NA,NA,NA
"2023-04-05-13",NA,NA,NA
"2023-04-05-14",NA,NA,NA
"2023-04-05-15",NA,NA,NA
"2023-04-05-16",NA,NA,NA
"2023-04-05-17",NA,NA,NA
"2023-04-05-18",NA,NA,NA
"2023-04-05-19",NA,NA,NA
"2023-04-05-20",NA,NA,NA
"2023-04-05-21",NA,NA,NA
"2023-04-05-22",NA,NA,NA
"2023-04-05-23",NA,NA,NA
"2023-04-06-00",NA,NA,NA
"2023-04-06-01",NA,NA,NA
"2023-04-06-02",NA,NA,NA
"2023-04-06-03",NA,NA,NA
"2023-04-06-04",NA,NA,NA
"2023-04-06-05",NA,NA,NA
"2023-04-06-06",NA,NA,NA
"2023-04-06-07",NA,NA,NA
"2023-04-06-08",NA,NA,NA
"2023-04-06-09",NA,NA,NA
"2023-04-06-10",NA,NA,NA
"2023-04-06-11",NA,NA,NA
"2023-04-06-12",NA,NA,NA
"2023-04-06-13",NA,NA,NA
"2023-04-06-14",NA,NA,NA
"2023-04-06-15",NA,NA,NA
"2023-04-06-16",NA,NA,NA
"2023-04-06-17",NA,NA,NA
"2023-04-06-18",NA,NA,NA
"2023-04-06-19",NA,NA,NA
"2023-04-06-20",NA,NA,NA
"2023-04-06-21",NA,NA,NA
"2023-04-06-22",NA,NA,NA
"2023-04-06-23",NA,NA,NA
"2023-04-07-00",NA,NA,NA
"2023-04-07-01",NA,NA,NA
"2023-04-07-02",NA,NA,NA
"2023-04-07-03",NA,NA,NA
"2023-04-07-04",NA,NA,NA
"2023-04-07-05",NA,NA,NA
"2023-04-07-06",NA,NA,NA
"2023-04-07-07",NA,NA,NA
"2023-04-07-08",NA,NA,NA
"2023-04-07-09",NA,NA,NA
"2023-04-07-10",NA,NA,NA
"2023-04-07-11",NA,NA,NA
"2023-04-07-12",NA,NA,NA
"2023-04-07-13",NA,NA,NA
"2023-04-07-14",NA,NA,NA
"2023-04-07-15",NA,NA,NA
"2023-04-07-16",NA,NA,NA
"2023-04-07-17",NA,NA,NA
"2023-04-07-18",NA,NA,NA
"2023-04-07-19",NA,NA,NA
"2023-04-07-20",NA,NA,NA
"2023-04-07-21",NA,NA,NA
"2023-04-07-22",NA,NA,NA
"2023-04-07-23",NA,NA,NA
"2023-04-08-00",NA,NA,NA
"2023-04-08-01",NA,NA,NA
"2023-04-08-02",NA,NA,NA
"2023-04-08-03",NA,NA,NA
"2023-04-08-04",NA,NA,NA
"2023-04-08-05",NA,NA,NA
"2023-04-08-06",NA,NA,NA
"2023-04-08-07",NA,NA,NA
"2023-04-08-08",NA,NA,NA
"2023-04-08-09",NA,NA,NA
"2023-04-08-10",NA,NA,NA
"2023-04-08-11",NA,NA,NA
"2023-04-08-12",NA,NA,NA
"2023-04-08-13",NA,NA,NA
"2023-04-08-14",NA,NA,NA
"2023-04-08-15",NA,NA,NA
"2023-04-08-16",NA,NA,NA
"2023-04-08-17",NA,NA,NA
"2023-04-08-18",NA,NA,NA
"2023-04-08-19",NA,NA,NA
"2023-04-08-20",NA,NA,NA
